STATE,CNTYCD,COUNTYNAME,COUNTY,STATEDESC,YEAR,FORCE,EMPLOYED,UNEMPLOYED,UNEMPLOYMENTRATE
38,87,"Slope County, ND",Slope County, ND,2013,523,512,11,2.1
38,89,"Stark County, ND",Stark County, ND,2013,19503,19174,329,1.7
38,91,"Steele County, ND",Steele County, ND,2013,1043,1018,25,2.4
38,93,"Stutsman County, ND",Stutsman County, ND,2013,10517,10188,329,3.1
38,95,"Towner County, ND",Towner County, ND,2013,1216,1169,47,3.9
38,97,"Traill County, ND",Traill County, ND,2013,4507,4378,129,2.9
38,99,"Walsh County, ND",Walsh County, ND,2013,5633,5355,278,4.9
38,101,"Ward County, ND",Ward County, ND,2013,34535,33603,932,2.7
38,103,"Wells County, ND",Wells County, ND,2013,2217,2121,96,4.3
38,105,"Williams County, ND",Williams County, ND,2013,29320,28960,360,1.2
39,1,"Adams County, OH",Adams County, OH,2013,10711,9347,1364,12.7
39,3,"Allen County, OH",Allen County, OH,2013,49548,45662,3886,7.8
39,5,"Ashland County, OH",Ashland County, OH,2013,25566,23494,2072,8.1
39,7,"Ashtabula County, OH",Ashtabula County, OH,2013,46097,41716,4381,9.5
39,9,"Athens County, OH",Athens County, OH,2013,27550,25065,2485,9
39,11,"Auglaize County, OH",Auglaize County, OH,2013,24001,22581,1420,5.9
39,13,"Belmont County, OH",Belmont County, OH,2013,32010,29373,2637,8.2
39,15,"Brown County, OH",Brown County, OH,2013,20118,18070,2048,10.2
39,17,"Butler County, OH",Butler County, OH,2013,186595,172598,13997,7.5
39,19,"Carroll County, OH",Carroll County, OH,2013,13723,12637,1086,7.9
39,21,"Champaign County, OH",Champaign County, OH,2013,20048,18660,1388,6.9
39,23,"Clark County, OH",Clark County, OH,2013,66038,61071,4967,7.5
39,25,"Clermont County, OH",Clermont County, OH,2013,102662,95099,7563,7.4
39,27,"Clinton County, OH",Clinton County, OH,2013,17119,15329,1790,10.5
39,29,"Columbiana County, OH",Columbiana County, OH,2013,50652,46471,4181,8.3
39,31,"Coshocton County, OH",Coshocton County, OH,2013,16381,14779,1602,9.8
39,33,"Crawford County, OH",Crawford County, OH,2013,19749,17937,1812,9.2
39,35,"Cuyahoga County, OH",Cuyahoga County, OH,2013,617778,574511,43267,7
39,37,"Darke County, OH",Darke County, OH,2013,26442,24587,1855,7
39,39,"Defiance County, OH",Defiance County, OH,2013,18967,17544,1423,7.5
39,41,"Delaware County, OH",Delaware County, OH,2013,98243,92995,5248,5.3
39,43,"Erie County, OH",Erie County, OH,2013,38612,35476,3136,8.1
39,45,"Fairfield County, OH",Fairfield County, OH,2013,74164,69226,4938,6.7
39,47,"Fayette County, OH",Fayette County, OH,2013,14398,13296,1102,7.7
39,49,"Franklin County, OH",Franklin County, OH,2013,639844,598576,41268,6.4
39,51,"Fulton County, OH",Fulton County, OH,2013,22487,20700,1787,7.9
39,53,"Gallia County, OH",Gallia County, OH,2013,12534,11318,1216,9.7
39,55,"Geauga County, OH",Geauga County, OH,2013,48925,46123,2802,5.7
39,57,"Greene County, OH",Greene County, OH,2013,79536,73977,5559,7
39,59,"Guernsey County, OH",Guernsey County, OH,2013,18575,16963,1612,8.7
39,61,"Hamilton County, OH",Hamilton County, OH,2013,403073,373635,29438,7.3
39,63,"Hancock County, OH",Hancock County, OH,2013,40261,37754,2507,6.2
39,65,"Hardin County, OH",Hardin County, OH,2013,14958,13804,1154,7.7
39,67,"Harrison County, OH",Harrison County, OH,2013,7301,6722,579,7.9
39,69,"Henry County, OH",Henry County, OH,2013,14049,12807,1242,8.8
39,71,"Highland County, OH",Highland County, OH,2013,17536,15697,1839,10.5
39,73,"Hocking County, OH",Hocking County, OH,2013,13219,12147,1072,8.1
39,75,"Holmes County, OH",Holmes County, OH,2013,20077,19028,1049,5.2
39,77,"Huron County, OH",Huron County, OH,2013,28708,25768,2940,10.2
39,79,"Jackson County, OH",Jackson County, OH,2013,13627,12192,1435,10.5
39,81,"Jefferson County, OH",Jefferson County, OH,2013,30651,27309,3342,10.9
39,83,"Knox County, OH",Knox County, OH,2013,30436,28335,2101,6.9
39,85,"Lake County, OH",Lake County, OH,2013,124842,117018,7824,6.3
